codi_districte;nom_districte;codi_barri;nom_barri;Barrio turístico en 2023;805_Eco_Individual income;852_Eco_Individual income;582_Eco_Occupation;822_Eco_Occupation;1014_Eco_Occupation;283_Eco_Occupation;43_Eco_Tourism development;279_Eco_;523_Eco_;671_Inf_Education;809_Inf_Education;744_Inf_Education;974_Inf_Education;10_Healthcare;642_Healthcare;257_Healthcare;902_Healthcare;148_Housing;465_Housing;674_Housing;477_Housing;139_Housing;866_Housing;653_Housing;569_Inf_Leisure and cultural activities;198_Inf_Leisure and cultural activities;479_Inf_Noise;1041_Inf_Security and safety;30_Inf_Water consumption;989_Mob_;361_Mob_;515_Mob_;9_Soc_Cultural diversity and identity;329_Soc_Cultural diversity and identity;670_Soc_Cultural diversity and identity;123_Soc_Demographics;589_Soc_Density of social relations;331_Soc_Equality and diversity;799_Soc_Public participation and trust in institutions;565_Soc_Social participation;348_Urb_Population density;265_Urb_;534_Urb_;877_Urb_Air quality;484_Urb_Nature-based assets;633_Urb_Nature-based assets;Satisfacción_Barrio
4;Les Corts;20;la Maternitat i Sant Ramon;No;25141,5;9;66,6;4,5;307,54;56,59;48;2,89;684;75,42;10,3;40630;7,5;86,28;4;20;1,7;51,32;66,62;15,76;78,17;2,45;3846,57;96,26;1193120;0,49;69,63;5,62;112,33;9,77;546,78;1948;16,62;45,4;23,27;46,81;12,22;9,83;7,93;79;749,21;1008;66,55;7721;0,07;0,63;7,84
4;Les Corts;21;Pedralbes;No;35205,14;7,8;61,7;1,8;72,2;55,87;11;2,22;260;76,81;5,1;0;6,1;87,62;0;9;0,6;50,76;63,81;17,48;115,03;2,84;4898,13;98,33;87629;0,37;88,6;5,32;145,21;20;782,19;1309;19,84;34,29;25,7;45,18;9,16;6,39;8,23;51;144,53;842;48,33;5740;10,16;0,73;7,93
5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;No;26594,49;3,6;65,6;4;42,33;51,37;3;1,46;70;71,25;7,3;29355;12,3;83,29;2;1;1,9;51,88;70,73;14,12;83,37;2,9;2804,11;77,68;106678;0,23;45,3;5,31;117,81;56,25;697,99;34;16,62;18,75;20,93;44,33;8,2;7,9;9,59;40;19,67;1488;24,17;1951;0,28;0;7,88
5;Sarrià-Sant Gervasi;23;Sarrià;No;32894,89;4,3;66,7;2,2;170,92;53,99;27;3,85;949;74,79;5,7;0;5,8;85,82;6;13;2,7;57,1;58,39;19,52;82,24;2,77;5591,32;97,13;0;0,35;70,53;5,67;126,03;24,1;672,7;1598;16,25;51,81;21,03;44,47;10,34;6,87;8,13;121;259,63;2402;50,05;10195;3,97;0,75;7,82
5;Sarrià-Sant Gervasi;24;les Tres Torres;No;37799,91;3,9;67,1;2,1;135,48;51,32;34;2,88;464;76,7;3,7;57504;4,8;85,77;6;13;2,2;51,71;63,01;19,42;107,25;2,9;5336,44;98,26;0;0,33;74,26;4,17;145,21;29,09;780,72;1315;12,47;38,18;17,33;44,39;9,14;5,95;7,49;29;384,85;904;66,65;7958;0,01;0,14;7,38
5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;No;33995,53;5,7;66,3;2,6;197,64;53,13;68;4,13;1060;77,84;4,9;196097;6;85,54;6;24;1,8;57,71;55,94;17,82;92,41;2,66;5100,11;94,51;1624103;0,55;71,64;5,46;139,73;27,54;698,3;2192;16,08;28,99;21,6;44,02;10,97;6,98;8,1;48;316,49;2013;56,61;11353;3,5;0,22;7,77
5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;No;33794,88;5,9;66,7;2,2;343,84;56,74;291;5,57;2630;79,67;4,2;0;4,2;86,27;10;43;1,5;64,01;56,94;18,42;101,3;2,53;5253,6;95;27516;0,89;76,33;5,45;139,73;25,32;761,44;4432;16,96;46,1;22,95;44,67;12,55;6,13;7,9;110;496,29;2764;62,35;22013;2,76;0,52;7,76
5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;No;28608,43;7,1;67,8;2,7;277,59;53,25;198;3,31;987;79,77;4,9;0;6,1;85,91;2;17;1,3;56,83;55,33;17,29;78,26;2,4;4179,08;94,58;0;0,42;66,22;6,19;120,55;9,41;579,89;1384;17,95;52,94;24,57;43,53;14,23;7,28;8,03;69;564,71;1791;70,17;10681;2,04;0,72;8,02
6;Gràcia;28;Vallcarca i els Penitents;No;25004,21;9,1;67,7;4,7;196,11;52,35;39;2,24;360;76,55;8,8;648319;9,9;85,34;5;12;2,7;54,49;60,07;16,78;71,57;2,4;3579,48;95,9;0;0,26;74,84;5,97;106,85;11,94;571,59;1190;18,11;50,75;25,24;44,88;13,5;8,88;9,34;58;338,69;1434;51,53;5684;0,07;0,24;7,79
6;Gràcia;29;el Coll;No;20216,16;12;65,1;6,7;89,54;52,28;20;1,29;98;72,79;11,6;0;15,1;86,55;0;4;3,7;51,1;60,75;14,42;65,03;2,39;2759,15;87,72;0;0,09;68,52;6,22;98,63;21,88;492,64;375;20,17;50;27,11;44,29;13,5;10,4;10,1;19;620;645;38,67;2297;6,98;1,57;7,72
