"codi_barri";"nom_barri";"Barrio.turístico.en.2023";"satisfaction";"Economic";"Healthcare";"Housing";"Infrastructure";"Mobility";"Social";"Urban"
55;"Ciutat Meridiana";"No";7;-1,35267388811037;-0,12854119004608;0,0753985158638261;-1,24099983942345;-0,501843270753125;-1,69159522882673;-0,500182392132663
56;"Vallbona";"No";8;-0,798881006769408;-0,523384917595874;0,894487075862791;-0,794773344767146;-1,46865043367258;-1,41753352801818;-0,52363254871356
57;"la Trinitat Vella";"No";6,65;-1,0835166725553;0,269897637525983;-0,0381621347864339;-0,797231297533465;-0,432616811707673;-1,29414173916406;-0,810191691474644
58;"Baró de Viver";"No";6,19;-0,795747639424707;-0,486159022400187;0,605312400250156;-0,899997429983559;-0,711282927654946;-1,53424626971192;-1,1560666880002
59;"el Bon Pastor";"No";7,85;-0,222039917152794;-0,44330158834967;0,371066587661216;-0,610320049878591;-0,146243559155445;-0,782107664993296;0,0581140274922462
60;"Sant Andreu";"No";7,96;0,228605055784116;0,923881726636658;0,281332640302732;0,0665414479929066;0,497188528769143;0,894977955752534;1,19082624947971
61;"la Sagrera";"No";7,91;0,0398668784772745;0,284829003718889;0,0859147372881417;-0,0371474092373968;0,331489303821049;0,379014546792632;-0,173459544600749
62;"el Congrés i els Indians";"No";7,8;0,121515489594432;-0,254207848528973;0,392710718058172;-0,072592138897854;0,0276528561141602;0,367967481799114;-0,0798085827072068
63;"Navas";"No";7,69;0,110130478654011;-0,275005838941197;0,151188947543298;-0,0375038113684036;0,395523343553313;0,493677746046742;-0,192064848213004
64;"el Camp de l'Arpa del Clot";"No";7,65;0,0564240920408627;0,0622515126160881;-0,0178342423106201;0,0923863170566975;0,465372327935984;0,383465093213493;0,499221821063094
65;"el Clot";"No";7,62;0,186928756131637;-0,0338503204020465;0,135832190706872;0,127138188532782;0,355825388063106;0,478357420656624;-0,552820184948281
66;"el Parc i la Llacuna del Poblenou";"No";7,94;0,277787471753813;-0,266531294990252;-0,0965777227253545;0,378046953501007;0,437594357918576;0,320565631222801;-0,111156377303482
69;"Diagonal Mar i el Front Marítim del Poblenou";"No";8,31;0,348991693671711;-0,49628560824642;-0,154232326353985;0,526940652450415;0,119712476543436;0,360727382048402;-0,730168302311104
70;"el Besòs i el Maresme";"No";7,2;-1,00730669541878;-0,0967380331226342;-0,0768683651383521;-0,932757957019781;0,406797985754344;-1,085612064961;-0,562951299666485
71;"Provençals del Poblenou";"No";7,91;0,06982060903402;-0,144123630627169;0,119426164071937;-0,108313413623527;0,266578683976561;0,00956193312815094;-0,834613458795247
72;"Sant Martí de Provençals";"No";7,75;-0,0422303606212072;0,326037666060474;0,543007490056453;-0,0786737061378411;0,574178621189163;-0,0363471262795447;-0,600948731641924
73;"la Verneda i la Pau";"No";7,84;-0,160908790393006;0,162146471564907;0,33452652322773;-0,540770616265997;0,84211306160339;-0,284457180282087;-0,492272464805076
